周次,订A,订C,订B,总订货,接收量,库存
1,6054.404166666667,6034.529166666666,5021.841666666667,17110.775,12037.419534006738,33840.0
2,6054.404166666667,6034.529166666666,5021.841666666667,17110.775,12037.419534006738,33840.0
3,6054.404166666667,6034.529166666666,5021.841666666667,17110.775,12037.419534006738,33840.0
4,6054.404166666667,6034.529166666666,5021.841666666667,17110.775,12037.419534006738,33840.0
5,6054.404166666667,6034.529166666666,5021.841666666667,17110.775,12037.419534006738,33840.0
6,6054.404166666667,6034.529166666666,5021.841666666667,17110.775,12037.419534006738,33840.0
7,6054.404166666667,6034.529166666666,5021.841666666667,17110.775,12037.419534006738,33840.0
8,6054.404166666667,6034.529166666666,5021.841666666667,17110.775,12037.419534006738,33840.0
9,6054.404166666667,6034.529166666666,5021.841666666667,17110.775,12037.419534006738,33840.0
10,6054.404166666667,6034.529166666666,5021.841666666667,17110.775,12037.419534006738,33840.0
11,6054.404166666667,6034.529166666666,5021.841666666667,17110.775,12037.419534006738,33840.0
12,6054.404166666667,6034.529166666666,5021.841666666667,17110.775,12037.419534006738,33840.0
13,6054.404166666667,6034.529166666666,5021.841666666667,17110.775,12037.419534006738,33840.0
14,6054.404166666667,6034.529166666666,5021.841666666667,17110.775,12037.419534006738,33840.0
15,6054.404166666667,6034.529166666666,5021.841666666667,17110.775,12037.419534006738,33840.0
16,6054.404166666667,6034.529166666666,5021.841666666667,17110.775,12037.419534006738,33840.0
17,6054.404166666667,6034.529166666666,5021.841666666667,17110.775,12037.419534006738,33840.0
18,6054.404166666667,6034.529166666666,5021.841666666667,17110.775,12037.419534006738,33840.0
19,6054.404166666667,6034.529166666666,5021.841666666667,17110.775,12037.419534006738,33840.0
20,6054.404166666667,6034.529166666666,5021.841666666667,17110.775,12037.419534006738,33840.0
21,6054.404166666667,6034.529166666666,5021.841666666667,17110.775,12037.419534006738,33840.0
22,6054.404166666667,6034.529166666666,5021.841666666667,17110.775,12037.419534006738,33840.0
23,6054.404166666667,6034.529166666666,5021.841666666667,17110.775,12037.419534006738,33840.0
24,6054.404166666667,6034.529166666666,5021.841666666667,17110.775,12037.419534006738,33840.0
