供应商ID,材料分类,总供货量,活跃度,稳定性,可靠性,充足率,TOPSIS得分,材料权重,最终得分,排名
S229,A,354887.0,1.0,3.0659246277952548,0.9458333333333333,1.0030604598885402,0.7172773427723372,1.6,1.1476437484357396,1
S275,A,158553.0,1.0,5.420830797205924,0.9458333333333333,1.0061072261072261,0.5274554413891297,1.6,0.8439287062226075,2
S329,A,156518.0,1.0,5.194864178622963,0.9416666666666667,1.0064102564102564,0.5151375860895262,1.6,0.824220137743242,3
S361,C,328080.0,1.0,3.289241571244962,0.8791666666666667,1.0028818683143976,0.710048897891163,1.0,0.710048897891163,4
S140,B,302047.0,0.9125,0.2872763032759091,0.8863636363636364,1.2,0.5594381562140456,1.2,0.6713257874568547,5
S266,A,6519.0,1.0,7.644290588362148,0.8708333333333333,1.25,0.40858895934495915,1.6,0.6537423349519347,6
S282,A,169340.0,1.0,1.7952506395137098,0.9875,1.0064866760168303,0.406683869229936,1.6,0.6506941907678976,7
S340,B,171426.0,1.0,4.292608251726896,0.9416666666666667,1.0055250305250305,0.5075140030894489,1.2,0.6090168037073387,8
S108,B,240950.0,1.0,0.8143123508152742,0.9458333333333333,1.005228981544771,0.49902872601771747,1.2,0.598834471221261,9
S268,C,129786.0,1.0,7.101878412010552,0.9375,1.007889822595705,0.5335090162419306,1.0,0.5335090162419306,10
S131,B,137512.0,1.0,3.7866693453477835,0.9083333333333333,1.0076923076923077,0.4224224553227265,1.2,0.5069069463872717,11
S194,C,101365.0,1.0,6.765488627018682,0.9458333333333333,1.0097167584579072,0.4801867063033071,1.0,0.4801867063033071,12
S352,A,89031.0,1.0,2.5078396481688086,0.9166666666666666,1.0106203007518797,0.27856925497495655,1.6,0.4457108079599305,13
S306,C,126096.0,1.0,4.339577235058776,0.9541666666666667,1.0087228260869565,0.425213502811943,1.0,0.425213502811943,14
S247,C,56698.0,1.0,6.655353490003881,0.9458333333333333,1.0187830687830688,0.419665336687291,1.0,0.419665336687291,15
S151,C,194498.0,1.0,0.4430549752247469,0.9541666666666667,1.006302729528536,0.4136642486440572,1.0,0.4136642486440572,16
S031,B,41207.0,1.0,5.091769960947964,0.925,1.025,0.33825872048153277,1.2,0.4059104645778393,17
S139,B,151862.0,0.925,0.2982207756748436,0.96875,1.2,0.33342960682838985,1.2,0.4001155281940678,18
S346,B,23240.0,1.0,5.3121194047569515,0.8708333333333333,1.04,0.3320047995271721,1.2,0.39840575943260653,19
S308,B,136998.0,1.0,1.0378856054375203,0.9166666666666666,1.007179675994109,0.3210056486401904,1.2,0.3852067783682284,20
S330,B,136652.0,1.0,0.8397443846633118,0.9125,1.0076923076923077,0.31541262150958765,1.2,0.3784951458115052,21
S143,A,82787.0,1.0,1.2409626082215344,0.8958333333333334,1.0122627998567848,0.2176036603270073,1.6,0.3481658565232117,22
S294,C,18842.0,1.0,5.582787846611754,0.8791666666666667,1.0571428571428572,0.3405076209705283,1.0,0.3405076209705283,23
S348,A,92421.0,0.8083333333333333,0.1464797878681673,0.9195979899497487,1.05,0.21247081907451987,1.6,0.33995331051923183,24
S356,C,130307.0,1.0,1.5128119748934803,0.95,1.0076340326340327,0.32114560007529797,1.0,0.32114560007529797,25
S201,A,81989.0,0.11666666666666667,0.1566537810069148,0.5306122448979592,1.0002260251856636,0.1868144985429548,1.6,0.2989031976687277,26
S307,A,78196.0,0.7125,0.22034846819841314,0.9709302325581395,1.025,0.1830129975180307,1.6,0.29282079602884914,27
S123,A,6449.0,1.0,2.5794199530010657,0.8083333333333333,1.1333333333333333,0.17908367198483024,1.6,0.2865338751757284,28
S395,A,75843.0,0.30833333333333335,0.32003783172761696,0.8690476190476191,1.0054446640316206,0.17640164824254814,1.6,0.282242637188077,29
S365,C,41631.0,1.0,2.625113574669721,0.95,1.025,0.21152882332721723,1.0,0.21152882332721723,30
S040,B,31905.0,1.0,1.7591794929466462,0.9041666666666667,1.0333333333333334,0.15301067752388503,1.2,0.18361281302866203,31
S367,B,26335.0,1.0,1.625891880155581,0.9,1.04,0.13949053647305093,1.2,0.1673886437676611,32
S284,C,46597.0,1.0,1.1898276707755266,1.0,1.025,0.1479111316746995,1.0,0.1479111316746995,33
S007,A,6948.0,1.0,0.9690857050195872,0.8666666666666667,1.2,0.09039106952456227,1.6,0.14462571123929965,34
S364,B,28763.0,1.0,1.1800664623585506,0.9416666666666667,1.0444444444444445,0.12013311849738827,1.2,0.14415974219686592,35
S244,C,16406.0,1.0,1.8688878202643293,0.8708333333333333,1.0666666666666667,0.1438545135759496,1.0,0.1438545135759496,36
S189,A,8892.0,0.6291666666666667,1.0895450629609371,0.8553459119496856,1.0571428571428572,0.08755076697368373,1.6,0.14008122715789398,37
S218,C,15483.0,1.0,1.7569239520280462,0.9291666666666667,1.0666666666666667,0.13681894264111624,1.0,0.13681894264111624,38
S374,C,49224.0,1.0,0.11445838621232213,0.9958333333333333,1.2,0.1283341922718167,1.0,0.1283341922718167,39
S037,C,50686.0,0.6541666666666667,0.32826205675330716,0.9006211180124224,1.0454545454545454,0.12658761337680782,1.0,0.12658761337680782,40
S098,B,413.0,0.8583333333333333,1.2776895946550622,0.9282296650717703,1.3333333333333333,0.1019466167707485,1.2,0.1223359401248982,41
S080,C,19237.0,1.0,1.3953989929990789,0.875,1.0483333333333333,0.11991872905777903,1.0,0.11991872905777903,42
S066,A,388.0,0.55,0.836862576092408,0.851063829787234,1.3333333333333333,0.07262564209908622,1.6,0.11620102735853795,43
S126,C,47540.0,0.37916666666666665,0.17528976802936985,0.84,1.02,0.1151328248335277,1.0,0.1151328248335277,44
S064,A,397.0,0.525,0.8101941494847168,0.9029850746268657,1.3333333333333333,0.07088990291459683,1.6,0.11342384466335494,45
S221,A,392.0,0.5125,0.7962939463001156,0.9761904761904762,1.3333333333333333,0.07006529547198863,1.6,0.11210447275518182,46
S157,A,395.0,0.5,0.804283428002989,0.8409090909090909,1.3333333333333333,0.07005865172939989,1.6,0.11209384276703982,47
S338,B,30109.0,0.85,0.2933720270498576,0.9411764705882353,1.25,0.09221556768192637,1.2,0.11065868121831164,48
S114,A,10931.0,0.9541666666666667,0.3302867236955444,0.8528138528138528,1.1666666666666667,0.06882661206097979,1.6,0.11012257929756766,49
S115,A,398.0,0.5041666666666667,0.7979971749854251,0.723404255319149,1.25,0.06833394200777843,1.6,0.10933430721244548,50
